embedding dimension, vocabulary threshold, data source, category, average ERR, occurence
300, 30, wordnet, all-capital-cities, 0.406116527175, 103
300, 30, wordnet, city-in-state, 0.492519710383, 2377
300, 30, wordnet, DerivedFrom, 0.475378927383, 2689
300, 30, wordnet, Attribute, 0.454596602602, 115
300, 30, wordnet, adjective-to-adverb, 0.447265595078, 349
300, 30, wordnet, MadeOf, 0.467113095238, 24
300, 30, wordnet, IsA, 0.483940195047, 6780
300, 30, wordnet, Causes, 0.5, 23
100, 5, wordnet, present-participle, 0.491717753901, 2741
100, 5, wordnet, superlative, 0.46415065287, 82
100, 5, wordnet, MemberOf, 0.493648806787, 147
100, 5, wordnet, currency, 0.496682411156, 114
100, 5, wordnet, nationality-adjective, 0.535698511209, 136
100, 5, wordnet, comparative, 0.456816518729, 84
100, 5, wordnet, plural-verbs, 0.477753701472, 2482
100, 5, wordnet, Entails, 0.494324352548, 108
100, 5, wordnet, PartOf, 0.475300497149, 888
100, 5, wordnet, InstanceOf, 0.496401924294, 1084
100, 5, wordnet, plural-nouns, 0.475990585632, 5057
100, 5, wordnet, HasContext, 0.49667733102, 958
100, 5, wordnet, SimilarTo, 0.494520414749, 2045
100, 5, wordnet, RelatedTo, 0.494909212651, 93
100, 5, wordnet, past-tense, 0.4958725779, 2625
100, 5, wordnet, man-woman, 0.507915614806, 81
100, 5, wordnet, Antonym, 0.487315430243, 564
100, 5, wordnet, all-capital-cities, 0.410368416672, 121
100, 5, wordnet, city-in-state, 0.494378673678, 3118
100, 5, wordnet, DerivedFrom, 0.487777148485, 4190
100, 5, wordnet, Attribute, 0.479865242181, 148
100, 5, wordnet, adjective-to-adverb, 0.470148574663, 621
100, 5, wordnet, MadeOf, 0.465008932866, 42
100, 5, wordnet, IsA, 0.492715174246, 9259
100, 5, wordnet, Causes, 0.5, 26
150, 5, wordnet, present-participle, 0.483265997066, 2741
150, 5, wordnet, superlative, 0.454367391536, 82
150, 5, wordnet, MemberOf, 0.502433975793, 147
150, 5, wordnet, currency, 0.49444096352, 114
150, 5, wordnet, nationality-adjective, 0.580097063985, 136
150, 5, wordnet, comparative, 0.451626175789, 84
150, 5, wordnet, plural-verbs, 0.471909576094, 2482
150, 5, wordnet, Entails, 0.490779320988, 108
150, 5, wordnet, PartOf, 0.473577234776, 888
150, 5, wordnet, InstanceOf, 0.497374107497, 1084
150, 5, wordnet, plural-nouns, 0.468380421896, 5057
150, 5, wordnet, HasContext, 0.496242098879, 958
150, 5, wordnet, SimilarTo, 0.495388954558, 2045
150, 5, wordnet, RelatedTo, 0.493018219833, 93
150, 5, wordnet, past-tense, 0.484997143299, 2625
150, 5, wordnet, man-woman, 0.495951433047, 81
150, 5, wordnet, Antonym, 0.479870155827, 564
150, 5, wordnet, all-capital-cities, 0.395245813332, 121
150, 5, wordnet, city-in-state, 0.495141268164, 3118
150, 5, wordnet, DerivedFrom, 0.487325975338, 4190
150, 5, wordnet, Attribute, 0.47920776009, 148
150, 5, wordnet, adjective-to-adverb, 0.469043331924, 621
150, 5, wordnet, MadeOf, 0.47962962963, 42
150, 5, wordnet, IsA, 0.493529251394, 9259
150, 5, wordnet, Causes, 0.5, 26
